Type;FSV-30;
Version;1.71 SP3;
Date;06.Aug 25;
Mode;ANALYZER;
Center Freq;11000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;22000000000.000000;Hz
x-Axis;LIN;
Start;0.000000;Hz
Stop;22000000000.000000;Hz
Ref Level;-9.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;5000.000000;Hz
SWT;1.440000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;6001;
0;-29.890522003173828;-48.0284423828125
3666666.6666666665;-48.260822296142578;-79.246231079101563
7333333.333333333;-77.641921997070313;-77.641921997070313
11000000;-76.021484375;-76.021484375
14666666.666666666;-74.533760070800781;-74.533760070800781
18333333.333333332;-74.265266418457031;-74.265266418457031
22000000;-76.11212158203125;-76.11212158203125
25666666.666666668;-76.008476257324219;-76.008476257324219
29333333.333333336;-75.680282592773438;-75.680282592773438
33000000.000000004;-75.102729797363281;-75.102729797363281
36666666.666666672;-75.393386840820313;-75.393386840820313
40333333.333333336;-74.990608215332031;-74.990608215332031
44000000;-74.989967346191406;-74.989967346191406
47666666.666666664;-74.807075500488281;-74.807075500488281
51333333.333333328;-74.426658630371094;-74.426658630371094
54999999.999999993;-74.626579284667969;-74.626579284667969
58666666.666666657;-74.640281677246094;-74.640281677246094
62333333.333333321;-74.888832092285156;-74.888832092285156
65999999.999999985;-74.605247497558594;-74.605247497558594
69666666.666666657;-74.411766052246094;-74.411766052246094
73333333.333333328;-74.611831665039063;-74.611831665039063
77000000;-74.85638427734375;-74.85638427734375
80666666.666666672;-74.619789123535156;-74.619789123535156
84333333.333333343;-74.677474975585937;-74.677474975585937
88000000.000000015;-74.524993896484375;-74.524993896484375
91666666.666666687;-74.776504516601563;-74.776504516601563
95333333.333333358;-75.060165405273438;-75.060165405273438
99000000.00000003;-74.450790405273437;-74.450790405273437
102666666.6666667;-74.731193542480469;-74.731193542480469
106333333.33333337;-75.122909545898438;-75.122909545898438
110000000.00000004;-74.804313659667969;-74.804313659667969
113666666.66666672;-74.794113159179687;-74.794113159179687
117333333.33333339;-75.091018676757813;-75.091018676757813
121000000.00000006;-75.340728759765625;-75.340728759765625
124666666.66666673;-75.417068481445312;-75.417068481445312
128333333.3333334;-75.028602600097656;-75.028602600097656
