Type;FSV-30;
Version;1.71 SP3;
Date;06.Aug 25;
Mode;ANALYZER;
Center Freq;11000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;22000000000.000000;Hz
x-Axis;LIN;
Start;0.000000;Hz
Stop;22000000000.000000;Hz
Ref Level;-9.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;5000.000000;Hz
SWT;1.440000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
832333333.33333135;-75.288398742675781;-75.288398742675781
835999999.99999797;-75.000450134277344;-75.000450134277344
839666666.6666646;-74.820114135742188;-74.820114135742188
843333333.33333123;-75.037704467773438;-75.037704467773438
846999999.99999785;-74.763725280761719;-74.763725280761719
850666666.66666448;-75.120994567871094;-75.120994567871094
854333333.33333111;-74.918983459472656;-74.918983459472656
857999999.99999774;-75.269241333007812;-75.269241333007812
861666666.66666436;-75.200485229492187;-75.200485229492187
865333333.33333099;-75.175956726074219;-75.175956726074219
868999999.99999762;-74.856781005859375;-74.856781005859375
872666666.66666424;-74.88140869140625;-74.88140869140625
876333333.33333087;-74.190040588378906;-74.190040588378906
879999999.9999975;-74.275764465332031;-74.275764465332031
883666666.66666412;-73.814224243164062;-73.814224243164062
887333333.33333075;-73.996566772460938;-73.996566772460938
890999999.99999738;-73.775077819824219;-73.775077819824219
894666666.666664;-73.018913269042969;-73.018913269042969
898333333.33333063;-72.684150695800781;-72.684150695800781
901999999.99999726;-72.882530212402344;-72.882530212402344
905666666.66666389;-72.702278137207031;-72.702278137207031
909333333.33333051;-72.66986083984375;-72.66986083984375
912999999.99999714;-72.964080810546875;-72.964080810546875
916666666.66666377;-72.788520812988281;-72.788520812988281
920333333.33333039;-72.836578369140625;-72.836578369140625
923999999.99999702;-73.207893371582031;-73.207893371582031
927666666.66666365;-73.1029052734375;-73.1029052734375
931333333.33333027;-73.317634582519531;-73.317634582519531
934999999.9999969;-73.676971435546875;-73.676971435546875
938666666.66666353;-73.818290710449219;-73.818290710449219
942333333.33333015;-74.031227111816406;-74.031227111816406
945999999.99999678;-74.234054565429687;-74.234054565429687
949666666.66666341;-74.305244445800781;-74.305244445800781
953333333.33333004;-74.374153137207031;-74.374153137207031
956999999.99999666;-74.388038635253906;-74.388038635253906
960666666.66666329;-74.721893310546875;-74.721893310546875
964333333.33332992;-74.774795532226563;-74.774795532226563
967999999.99999654;-74.415496826171875;-74.415496826171875
971666666.66666317;-74.839729309082031;-74.839729309082031
975333333.3333298;-74.789932250976562;-74.789932250976562
978999999.99999642;-74.521507263183594;-74.521507263183594
982666666.66666305;-74.274810791015625;-74.274810791015625
986333333.33332968;-74.304031372070312;-74.304031372070312
989999999.9999963;-73.937576293945313;-73.937576293945313
993666666.66666293;-74.539276123046875;-74.539276123046875
997333333.33332956;-74.114677429199219;-74.114677429199219
1000999999.9999962;-74.207443237304688;-74.207443237304688
1004666666.6666628;-73.947349548339844;-73.947349548339844
1008333333.3333294;-73.770797729492188;-73.770797729492188
1011999999.9999961;-73.283065795898438;-73.283065795898438
1015666666.6666627;-73.246726989746094;-73.246726989746094
1019333333.3333293;-73.104393005371094;-73.104393005371094
1022999999.9999959;-72.579872131347656;-72.579872131347656
1026666666.6666626;-72.298782348632813;-72.298782348632813
1030333333.3333292;-72.046684265136719;-72.046684265136719
1033999999.9999958;-71.919059753417969;-71.919059753417969
1037666666.6666625;-71.985145568847656;-71.985145568847656
1041333333.3333291;-71.921974182128906;-71.921974182128906
1044999999.9999957;-71.998939514160156;-71.998939514160156
1048666666.6666623;-71.946197509765625;-71.946197509765625
1052333333.333329;-71.964622497558594;-71.964622497558594
1055999999.9999956;-72.128990173339844;-72.128990173339844
1059666666.6666622;-72.012260437011719;-72.012260437011719
1063333333.3333288;-72.527046203613281;-72.527046203613281
1066999999.9999955;-72.751815795898437;-72.751815795898437
1070666666.6666621;-73.493721008300781;-73.493721008300781
1074333333.3333287;-73.512908935546875;-73.512908935546875
1077999999.9999955;-73.741500854492188;-73.741500854492188
1081666666.6666622;-73.697921752929688;-73.697921752929688
1085333333.333329;-73.066932678222656;-73.066932678222656
1088999999.9999957;-73.879753112792969;-73.879753112792969
1092666666.6666625;-73.664840698242188;-73.664840698242188
1096333333.3333292;-73.913726806640625;-73.913726806640625
1099999999.9999959;-73.965171813964844;-73.965171813964844
1103666666.6666627;-74.013046264648437;-74.013046264648437
1107333333.3333294;-73.978683471679688;-73.978683471679688
1110999999.9999962;-73.934898376464844;-73.934898376464844
1114666666.6666629;-73.502944946289062;-73.502944946289062
1118333333.3333297;-73.788566589355469;-73.788566589355469
1121999999.9999964;-73.739852905273437;-73.739852905273437
1125666666.6666632;-73.564315795898438;-73.564315795898438
1129333333.3333299;-73.239326477050781;-73.239326477050781
1132999999.9999967;-73.151863098144531;-73.151863098144531
1136666666.6666634;-73.282203674316406;-73.282203674316406
1140333333.3333302;-72.968704223632812;-72.968704223632812
1143999999.9999969;-72.827201843261719;-72.827201843261719
1147666666.6666636;-72.463058471679688;-72.463058471679688
1151333333.3333304;-72.125221252441406;-72.125221252441406
1154999999.9999971;-71.737174987792969;-71.737174987792969
1158666666.6666639;-71.740623474121094;-71.740623474121094
1162333333.3333306;-71.644065856933594;-71.644065856933594
1165999999.9999974;-71.377021789550781;-71.377021789550781
1169666666.6666641;-71.06475830078125;-71.06475830078125
1173333333.3333309;-71.153427124023438;-71.153427124023438
1176999999.9999976;-71.113998413085938;-71.113998413085938
1180666666.6666644;-71.218017578125;-71.218017578125
1184333333.3333311;-71.405021667480469;-71.405021667480469
1187999999.9999979;-71.3629150390625;-71.3629150390625
1191666666.6666646;-71.778793334960937;-71.778793334960937
1195333333.3333313;-71.891197204589844;-71.891197204589844
1198999999.9999981;-72.360740661621094;-72.360740661621094
1202666666.6666648;-72.307540893554688;-72.307540893554688
1206333333.3333316;-72.519760131835938;-72.519760131835938
1209999999.9999983;-72.7613525390625;-72.7613525390625
1213666666.6666651;-72.786834716796875;-72.786834716796875
1217333333.3333318;-73.097549438476562;-73.097549438476562
1220999999.9999986;-73.431182861328125;-73.431182861328125
1224666666.6666653;-73.440803527832031;-73.440803527832031
1228333333.3333321;-73.680152893066406;-73.680152893066406
1231999999.9999988;-73.549797058105469;-73.549797058105469
1235666666.6666656;-73.601417541503906;-73.601417541503906
1239333333.3333323;-73.513557434082031;-73.513557434082031
1242999999.999999;-73.245040893554688;-73.245040893554688
1246666666.6666658;-73.596710205078125;-73.596710205078125
1250333333.3333325;-73.380760192871094;-73.380760192871094
1253999999.9999993;-73.399490356445313;-73.399490356445313
1257666666.666666;-73.265708923339844;-73.265708923339844
1261333333.3333328;-73.037971496582031;-73.037971496582031
1264999999.9999995;-72.895614624023438;-72.895614624023438
1268666666.6666663;-72.284164428710938;-72.284164428710938
1272333333.333333;-72.568656921386719;-72.568656921386719
1275999999.9999998;-71.732872009277344;-71.732872009277344
1279666666.6666665;-71.935218811035156;-71.935218811035156
1283333333.3333333;-71.6279296875;-71.6279296875
1287000000;-71.474395751953125;-71.474395751953125
1290666666.6666667;-71.02801513671875;-71.02801513671875
1294333333.3333335;-71.11566162109375;-71.11566162109375
1298000000.0000002;-71.092216491699219;-71.092216491699219
1301666666.666667;-70.900299072265625;-70.900299072265625
1305333333.3333337;-71.190681457519531;-71.190681457519531
1309000000.0000005;-70.984687805175781;-70.984687805175781
1312666666.6666672;-71.127082824707031;-71.127082824707031
1316333333.333334;-70.853851318359375;-70.853851318359375
1320000000.0000007;-71.672653198242187;-71.672653198242187
1323666666.6666675;-71.632514953613281;-71.632514953613281
1327333333.3333342;-71.990020751953125;-71.990020751953125
1331000000.000001;-72.236015319824219;-72.236015319824219
1334666666.6666677;-72.4041748046875;-72.4041748046875
1338333333.3333344;-72.545127868652344;-72.545127868652344
1342000000.0000012;-73.068206787109375;-73.068206787109375
1345666666.6666679;-72.603050231933594;-72.603050231933594
1349333333.3333347;-73.271446228027344;-73.271446228027344
1353000000.0000014;-73.090232849121094;-73.090232849121094
1356666666.6666682;-73.42364501953125;-73.42364501953125
1360333333.3333349;-73.197006225585937;-73.197006225585937
1364000000.0000017;-73.316780090332031;-73.316780090332031
1367666666.6666684;-73.44903564453125;-73.44903564453125
1371333333.3333352;-73.588340759277344;-73.588340759277344
1375000000.0000019;-73.358818054199219;-73.358818054199219
1378666666.6666687;-73.333091735839844;-73.333091735839844
1382333333.3333354;-72.946037292480469;-72.946037292480469
1386000000.0000021;-73.580322265625;-73.580322265625
1389666666.6666689;-73.204605102539063;-73.204605102539063
1393333333.3333356;-73.419464111328125;-73.419464111328125
1397000000.0000024;-73.1907958984375;-73.1907958984375
1400666666.6666691;-72.596260070800781;-72.596260070800781
1404333333.3333359;-72.680984497070312;-72.680984497070312
1408000000.0000026;-72.497230529785156;-72.497230529785156
1411666666.6666694;-72.331413269042969;-72.331413269042969
1415333333.3333361;-72.068916320800781;-72.068916320800781
1419000000.0000029;-71.547492980957031;-71.547492980957031
1422666666.6666696;-71.59759521484375;-71.59759521484375
1426333333.3333364;-71.8128662109375;-71.8128662109375
1430000000.0000031;-71.484832763671875;-71.484832763671875
1433666666.6666698;-71.710037231445312;-71.710037231445312
1437333333.3333366;-71.505195617675781;-71.505195617675781
1441000000.0000033;-71.562652587890625;-71.562652587890625
1444666666.6666701;-71.529388427734375;-71.529388427734375
1448333333.3333368;-71.765205383300781;-71.765205383300781
1452000000.0000036;-71.945281982421875;-71.945281982421875
1455666666.6666703;-72.265754699707031;-72.265754699707031
1459333333.3333371;-72.629936218261719;-72.629936218261719
1463000000.0000038;-72.370460510253906;-72.370460510253906
1466666666.6666706;-73.113212585449219;-73.113212585449219
1470333333.3333373;-72.673721313476562;-72.673721313476562
1474000000.0000041;-73.185317993164063;-73.185317993164063
1477666666.6666708;-73.061347961425781;-73.061347961425781
1481333333.3333375;-73.621498107910156;-73.621498107910156
1485000000.0000043;-73.43670654296875;-73.43670654296875
1488666666.666671;-73.647453308105469;-73.647453308105469
1492333333.3333378;-73.505897521972656;-73.505897521972656
1496000000.0000045;-74.029808044433594;-74.029808044433594
1499666666.6666713;-73.751861572265625;-73.751861572265625
1503333333.333338;-73.798294067382812;-73.798294067382812
1507000000.0000048;-73.579124450683594;-73.579124450683594
1510666666.6666715;-73.590248107910156;-73.590248107910156
1514333333.3333383;-73.301231384277344;-73.301231384277344
1518000000.000005;-73.30322265625;-73.30322265625
1521666666.6666718;-73.449813842773437;-73.449813842773437
1525333333.3333385;-73.500434875488281;-73.500434875488281
1529000000.0000052;-73.152275085449219;-73.152275085449219
1532666666.666672;-72.922012329101563;-72.922012329101563
1536333333.3333387;-72.852081298828125;-72.852081298828125
1540000000.0000055;-72.475242614746094;-72.475242614746094
1543666666.6666722;-72.586502075195313;-72.586502075195313
1547333333.333339;-72.354278564453125;-72.354278564453125
1551000000.0000057;-72.105247497558594;-72.105247497558594
1554666666.6666725;-72.224098205566406;-72.224098205566406
1558333333.3333392;-71.997039794921875;-71.997039794921875
1562000000.000006;-71.636589050292969;-71.636589050292969
1565666666.6666727;-71.510765075683594;-71.510765075683594
1569333333.3333395;-71.424247741699219;-71.424247741699219
1573000000.0000062;-71.31024169921875;-71.31024169921875
1576666666.6666729;-71.266563415527344;-71.266563415527344
1580333333.3333397;-71.71307373046875;-71.71307373046875
1584000000.0000064;-71.611885070800781;-71.611885070800781
1587666666.6666732;-71.68951416015625;-71.68951416015625
1591333333.3333399;-71.942924499511719;-71.942924499511719
1595000000.0000067;-72.186508178710938;-72.186508178710938
1598666666.6666734;-72.211563110351562;-72.211563110351562
1602333333.3333402;-72.575340270996094;-72.575340270996094
1606000000.0000069;-72.692886352539062;-72.692886352539062
1609666666.6666737;-72.880416870117188;-72.880416870117188
1613333333.3333404;-72.989456176757813;-72.989456176757813
1617000000.0000072;-72.929252624511719;-72.929252624511719
1620666666.6666739;-73.331779479980469;-73.331779479980469
1624333333.3333406;-72.935173034667969;-72.935173034667969
1628000000.0000074;-73.100784301757812;-73.100784301757812
1631666666.6666741;-73.057029724121094;-73.057029724121094
1635333333.3333409;-72.796783447265625;-72.796783447265625
1639000000.0000076;-73.014198303222656;-73.014198303222656
1642666666.6666744;-72.9281005859375;-72.9281005859375
1646333333.3333411;-72.505722045898438;-72.505722045898438
1650000000.0000079;-72.638381958007813;-72.638381958007813
1653666666.6666746;-72.551597595214844;-72.551597595214844
1657333333.3333414;-72.549636840820312;-72.549636840820312
1661000000.0000081;-72.239654541015625;-72.239654541015625
1664666666.6666749;-71.823226928710937;-71.823226928710937
1668333333.3333416;-72.101707458496094;-72.101707458496094
1672000000.0000083;-71.47210693359375;-71.47210693359375
1675666666.6666751;-71.552589416503906;-71.552589416503906
1679333333.3333418;-71.220298767089844;-71.220298767089844
1683000000.0000086;-71.175056457519531;-71.175056457519531
1686666666.6666753;-70.761054992675781;-70.761054992675781
1690333333.3333421;-70.71697998046875;-70.71697998046875
1694000000.0000088;-70.963340759277344;-70.963340759277344
1697666666.6666756;-70.47967529296875;-70.47967529296875
1701333333.3333423;-70.548690795898438;-70.548690795898438
1705000000.0000091;-70.80145263671875;-70.80145263671875
1708666666.6666758;-70.916084289550781;-70.916084289550781
1712333333.3333426;-70.782379150390625;-70.782379150390625
1716000000.0000093;-71.089942932128906;-71.089942932128906
1719666666.666676;-70.972312927246094;-70.972312927246094
1723333333.3333428;-71.3521728515625;-71.3521728515625
1727000000.0000095;-71.153663635253906;-71.153663635253906
1730666666.6666763;-71.535484313964844;-71.535484313964844
1734333333.333343;-71.773994445800781;-71.773994445800781
1738000000.0000098;-71.95562744140625;-71.95562744140625
1741666666.6666765;-71.965682983398438;-71.965682983398438
1745333333.3333433;-72.011611938476562;-72.011611938476562
1749000000.00001;-72.174392700195313;-72.174392700195313
1752666666.6666768;-72.042930603027344;-72.042930603027344
1756333333.3333435;-72.328956604003906;-72.328956604003906
1760000000.0000103;-72.322311401367188;-72.322311401367188
1763666666.666677;-72.418586730957031;-72.418586730957031
1767333333.3333437;-72.387481689453125;-72.387481689453125
1771000000.0000105;-72.154045104980469;-72.154045104980469
1774666666.6666772;-72.058357238769531;-72.058357238769531
1778333333.333344;-72.088966369628906;-72.088966369628906
1782000000.0000107;-71.742469787597656;-71.742469787597656
1785666666.6666775;-71.533134460449219;-71.533134460449219
1789333333.3333442;-71.503791809082031;-71.503791809082031
1793000000.000011;-71.014717102050781;-71.014717102050781
1796666666.6666777;-71.246574401855469;-71.246574401855469
