Type;FSV-30;
Version;1.71 SP3;
Date;06.Aug 25;
Mode;ANALYZER;
Center Freq;11000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;22000000000.000000;Hz
x-Axis;LIN;
Start;0.000000;Hz
Stop;22000000000.000000;Hz
Ref Level;-9.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;5000.000000;Hz
SWT;1.440000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;6001;
0;-27.093162536621094;-45.2470703125
3666666.6666666665;-45.479301452636719;-78.293800354003906
7333333.333333333;-77.109169006347656;-77.109169006347656
11000000;-75.915382385253906;-75.915382385253906
14666666.666666666;-74.906349182128906;-74.906349182128906
18333333.333333332;-74.216880798339844;-74.216880798339844
22000000;-76.090042114257813;-76.090042114257813
25666666.666666668;-75.739028930664063;-75.739028930664063
29333333.333333336;-75.487632751464844;-75.487632751464844
33000000.000000004;-75.43756103515625;-75.43756103515625
36666666.666666672;-75.180511474609375;-75.180511474609375
40333333.333333336;-75.084281921386719;-75.084281921386719
44000000;-75.217720031738281;-75.217720031738281
47666666.666666664;-74.877914428710938;-74.877914428710938
51333333.333333328;-74.474067687988281;-74.474067687988281
54999999.999999993;-74.697944641113281;-74.697944641113281
58666666.666666657;-74.594764709472656;-74.594764709472656
62333333.333333321;-74.178016662597656;-74.178016662597656
65999999.999999985;-74.451141357421875;-74.451141357421875
69666666.666666657;-74.744491577148438;-74.744491577148438
73333333.333333328;-74.853202819824219;-74.853202819824219
77000000;-74.486968994140625;-74.486968994140625
80666666.666666672;-74.425407409667969;-74.425407409667969
84333333.333333343;-74.572647094726563;-74.572647094726563
88000000.000000015;-74.638290405273437;-74.638290405273437
91666666.666666687;-74.909095764160156;-74.909095764160156
95333333.333333358;-74.716468811035156;-74.716468811035156
99000000.00000003;-74.292709350585938;-74.292709350585938
102666666.6666667;-75.288665771484375;-75.288665771484375
106333333.33333337;-74.5941162109375;-74.5941162109375
110000000.00000004;-75.178955078125;-75.178955078125
113666666.66666672;-75.201286315917969;-75.201286315917969
117333333.33333339;-75.162666320800781;-75.162666320800781
121000000.00000006;-74.842369079589844;-74.842369079589844
124666666.66666673;-75.176094055175781;-75.176094055175781
128333333.3333334;-75.324272155761719;-75.324272155761719
